name,location,online_order,book_table,cuisines,rate,costof2plates,type_mode,rest_type,votes
Le Gateau The Cake Shop,Old Airport Road,Yes,No,Desserts Bakery,4.4,600.0,Delivery,Delivery,536.0
Deli Chats and Sweets,Marathahalli,Yes,No,others,4.1,200.0,Delivery,Quick Bites,39.0
Eden Huts Restaurant,Bellandur,No,No,Chinese North Indian,4.0,400.0,Delivery,Casual Dining,213.0
Shekhawati Restaurant,Sarjapur Road,Yes,No,North Indian,3.7,300.0,Delivery,Quick Bites,62.0
Baithak,HSR,Yes,Yes,others,4.2,1100.0,Delivery,"Casual Dining, Bar",1383.0
Ice Treat,HSR,Yes,No,others,3.8,200.0,Delivery,Quick Bites,42.0
Ustaad Biryani,Marathahalli,Yes,No,Biryani,3.7,250.0,Delivery,Delivery,0.0
Mumbai Xpress,Bellandur,Yes,No,Fast Food Street Food,2.9,350.0,Delivery,Quick Bites,89.0
Chung Wah,Marathahalli,Yes,No,others,2.9,500.0,Delivery,Delivery,29.0
Filmy Kitchen,Bellandur,Yes,No,others,3.7,400.0,Delivery,Quick Bites,182.0
The Belgian Waffle Co,HSR,Yes,No,Desserts Beverages,4.1,350.0,Delivery,Dessert Parlor,129.0
Samaroh,Bellandur,No,No,North Indian,4.0,1200.0,Delivery,Casual Dining,246.0
Fusion Tadka,Bellandur,Yes,No,North Indian Chinese,3.7,450.0,Delivery,Delivery,34.0
The Bbq,Bellandur,Yes,No,others,3.7,700.0,Delivery,Casual Dining,0.0
Orchard Fresh,Sarjapur Road,Yes,No,Ice Cream,3.7,150.0,Delivery,Dessert Parlor,0.0
Pizza Stop,Sarjapur Road,Yes,No,others,3.2,600.0,Delivery,Quick Bites,44.0
NH1,Bellandur,Yes,No,North Indian,3.8,600.0,Delivery,Delivery,376.0
Madurai Meenakshi Vilas,Bellandur,Yes,No,South Indian,3.6,300.0,Delivery,Quick Bites,27.0
Rampyari Chaiwala Netaji Bhajiawala,Sarjapur Road,Yes,No,others,3.1,150.0,Delivery,Quick Bites,25.0
Sharaab Factory,Bellandur,Yes,Yes,Biryani North Indian,3.9,1500.0,Delivery,Bar,392.0
Biryani House,Bellandur,Yes,No,others,3.5,600.0,Delivery,Casual Dining,11.0
Karavali Naati Mane,Sarjapur Road,Yes,No,South Indian,3.1,350.0,Delivery,Quick Bites,40.0
Chaai Resto,Sarjapur Road,Yes,No,others,4.1,200.0,Delivery,Cafe,33.0
The Punjabi,Bellandur,Yes,No,others,2.9,550.0,Delivery,Casual Dining,32.0
Biruvas Biryani House,Sarjapur Road,Yes,No,Biryani North Indian Chinese,3.7,200.0,Delivery,Quick Bites,0.0
Matinee Bar Kitchen,Marathahalli,Yes,Yes,others,4.2,1700.0,Delivery,Casual Dining,340.0
Spicy Paratha House,Marathahalli,Yes,No,North Indian Chinese,3.0,450.0,Delivery,Quick Bites,9.0
Cafe Coffee Day,Sarjapur Road,Yes,No,Cafe Fast Food,2.9,900.0,Delivery,Cafe,27.0
Foodies Hub,Sarjapur Road,Yes,No,others,3.1,500.0,Delivery,Quick Bites,8.0
The Modak,Bellandur,Yes,No,others,3.6,400.0,Delivery,Quick Bites,18.0
Delhi Restaurant,Marathahalli,Yes,No,North Indian Mughlai Chinese,3.8,400.0,Delivery,Quick Bites,54.0
Chatorezz,Marathahalli,Yes,No,North Indian Chinese,3.6,250.0,Delivery,Quick Bites,26.0
Aapni Rasoi,Bellandur,Yes,No,North Indian,3.2,400.0,Delivery,Quick Bites,127.0
Chef Bakers,Bellandur,Yes,No,others,3.6,600.0,Delivery,"Bakery, Quick Bites",136.0
Melting Melodies,Bellandur,Yes,No,Desserts Bakery,3.6,300.0,Delivery,others,11.0
Deccan Kitchen,Marathahalli,Yes,No,South Indian North Indian,3.7,700.0,Delivery,Casual Dining,31.0
Tapout Tavern,Sarjapur Road,Yes,Yes,others,4.1,1200.0,Delivery,"Casual Dining, Pub",322.0
Shanghai Bistro,Sarjapur Road,Yes,No,others,4.1,800.0,Delivery,Casual Dining,248.0
Tipsy Bull The Bar Exchange,Bellandur,Yes,Yes,others,4.4,1400.0,Delivery,"Bar, Casual Dining",2182.0
Hyderabad Biryaani Home,others,Yes,No,others,3.0,650.0,Delivery,Takeaway,137.0
Pabrais Fresh Naturelle Icecreams,HSR,Yes,No,Ice Cream Desserts,4.3,180.0,Delivery,Dessert Parlor,324.0
Drunken Monkey,HSR,Yes,No,Beverages Fast Food,4.0,400.0,Delivery,"Beverage Shop, Quick Bites",119.0
Kritunga Restaurant,Marathahalli,Yes,No,Andhra Biryani North Indian Chinese,3.8,650.0,Delivery,Casual Dining,1972.0
Desi Chulha,Sarjapur Road,Yes,No,North Indian,3.7,250.0,Delivery,Quick Bites,19.0
Pop Hop,Bellandur,Yes,No,Ice Cream Desserts,4.0,300.0,Delivery,Dessert Parlor,57.0
Kabab Mandra,Sarjapur Road,Yes,No,others,2.9,300.0,Delivery,Quick Bites,243.0
Chicken Man,Bellandur,Yes,No,others,3.7,400.0,Delivery,Kiosk,48.0
Oogway Express,Marathahalli,Yes,No,Chinese Thai Momos,3.7,600.0,Delivery,Casual Dining,19.0
Hoot,Sarjapur Road,Yes,Yes,others,4.2,1400.0,Delivery,others,7193.0
Homifoo,HSR,Yes,No,North Indian,3.5,300.0,Delivery,Quick Bites,11.0
Rajasthan Sweets,Sarjapur Road,Yes,No,Mithai,3.7,150.0,Delivery,Sweet Shop,0.0
Ghar Ki Rasoi,Bellandur,Yes,No,North Indian,3.7,500.0,Delivery,Casual Dining,50.0
Swaadam Biryanis,Marathahalli,Yes,No,others,3.7,300.0,Delivery,Delivery,0.0
Ice N Fries Cafe,Sarjapur Road,Yes,No,others,3.7,200.0,Delivery,Quick Bites,39.0
Nutty Squirrel,Bellandur,Yes,No,Ice Cream Desserts,3.8,300.0,Delivery,Kiosk,72.0
Cooking Mom,Bellandur,Yes,No,others,2.9,800.0,Delivery,Casual Dining,182.0
INDULGE by InnerChef,Sarjapur Road,Yes,No,Desserts Bakery,3.6,400.0,Delivery,Bakery,22.0
Biriyani Bungalow,Sarjapur Road,Yes,No,Biryani North Indian Chinese,3.9,800.0,Delivery,Casual Dining,222.0
Absolute Shawarma,Marathahalli,Yes,No,others,3.8,150.0,Delivery,"Takeaway, Delivery",116.0
The Irish House,Bellandur,Yes,No,others,4.2,1700.0,Delivery,"Casual Dining, Pub",793.0
Gustos Pizza,Bellandur,Yes,No,others,3.0,500.0,Delivery,Casual Dining,289.0
Artinci Artisanal Ice Cream,Bellandur,Yes,No,Ice Cream Desserts,3.7,300.0,Delivery,Dessert Parlor,0.0
Mak n Vak Fyn,HSR,Yes,No,North Indian Chinese,3.9,500.0,Delivery,Quick Bites,337.0
Ruh,Bellandur,Yes,Yes,others,4.1,1000.0,Delivery,Casual Dining,3020.0
Lassi Shop,Sarjapur Road,Yes,No,others,3.5,200.0,Delivery,Beverage Shop,9.0
Bawarchi Khaana,Bellandur,Yes,No,North Indian Chinese,3.3,600.0,Delivery,Quick Bites,56.0
Tumbites,Bellandur,Yes,No,North Indian,3.7,200.0,Delivery,Quick Bites,0.0
Biryani Bar,Marathahalli,Yes,No,Biryani,3.7,500.0,Delivery,Delivery,0.0
Wimpie Cafe Restaurant,Bellandur,Yes,No,others,3.7,500.0,Delivery,Casual Dining,0.0
Freshkicho,Bellandur,No,No,North Indian South Indian Chinese,3.7,200.0,Delivery,Delivery,0.0
Mr Cane,Marathahalli,Yes,No,others,3.7,100.0,Delivery,Food Court,0.0
Carlos Cake Cafe,Sarjapur Road,Yes,No,Bakery Desserts,3.8,300.0,Delivery,Bakery,81.0
Mighty Paws,Sarjapur Road,Yes,No,Cafe,4.0,500.0,Delivery,Cafe,136.0
Cake Dilim,Sarjapur Road,Yes,No,Bakery,3.6,400.0,Delivery,Bakery,27.0
Raja Bhojaun,Marathahalli,Yes,No,Chinese North Indian South Indian,3.4,250.0,Delivery,"Takeaway, Delivery",20.0
Mirchi Bites Spice Heaven,Marathahalli,Yes,No,others,3.1,650.0,Delivery,Casual Dining,9.0
Hotel Sapthagiri,Marathahalli,Yes,No,Andhra North Indian Chinese,3.6,700.0,Delivery,Casual Dining,13.0
Bakers Cafe,Marathahalli,Yes,No,Bakery Desserts,3.5,200.0,Delivery,Bakery,8.0
Oz Pies,Bellandur,Yes,No,others,3.8,400.0,Delivery,Delivery,37.0
Tandoori Club,HSR,Yes,No,North Indian Chinese Continental,3.7,750.0,Delivery,Casual Dining,0.0
Brimstone Cafe,HSR,Yes,Yes,others,4.0,1300.0,Delivery,"Cafe, Casual Dining",387.0
Jhanavi Restaurant,Sarjapur Road,Yes,No,South Indian North Indian,3.7,400.0,Delivery,Casual Dining,0.0
Xtreme Sports Bar,Sarjapur Road,Yes,Yes,others,4.0,1300.0,Delivery,Pub,942.0
Jashn,Marathahalli,Yes,No,North Indian,3.7,750.0,Delivery,Casual Dining,132.0
TAK That Affordable Kitchen,HSR,Yes,No,others,3.2,400.0,Delivery,"Takeaway, Delivery",4.0
Up Shawarma,Bellandur,Yes,No,Arabian,3.4,150.0,Delivery,Quick Bites,13.0
Happy Eat,Sarjapur Road,Yes,No,others,3.7,300.0,Delivery,Quick Bites,0.0
Bombay Kulfi,Sarjapur Road,Yes,No,Ice Cream,3.7,200.0,Delivery,Dessert Parlor,0.0
Health Zingo,Bellandur,No,No,others,3.8,600.0,Delivery,Casual Dining,368.0
Corner Huts,Bellandur,Yes,No,others,3.8,300.0,Delivery,Quick Bites,30.0
Half Half Food Box,Bellandur,Yes,No,North Indian Chinese Biryani,3.1,500.0,Delivery,Quick Bites,13.0
North Tadka Restaurant,HSR,Yes,No,North Indian Chinese,3.7,500.0,Delivery,Quick Bites,0.0
Food Treat,Bellandur,Yes,No,North Indian South Indian,3.3,300.0,Delivery,Quick Bites,12.0
Five Senses,Bellandur,Yes,No,others,3.7,500.0,Delivery,"Takeaway, Delivery",0.0
Canopus Multicuisine Restaurant,Marathahalli,Yes,No,others,3.7,800.0,Delivery,Casual Dining,0.0
Hotel Tanish,HSR,Yes,No,South Indian,3.6,250.0,Delivery,Quick Bites,13.0
Royale Dine,Sarjapur Road,Yes,No,others,3.5,600.0,Delivery,Casual Dining,16.0
Baskin Robbins,Bellandur,Yes,No,Ice Cream Desserts,3.7,250.0,Delivery,Dessert Parlor,48.0
Atithi Family Bar Restaurant,Bellandur,Yes,No,others,3.6,500.0,Delivery,"Casual Dining, Bar",31.0
Meat And Eat,Sarjapur Road,Yes,No,Fast Food Burger,2.8,500.0,Delivery,Quick Bites,39.0
Eatwell Restaurant,Sarjapur Road,Yes,No,others,3.0,400.0,Delivery,Quick Bites,8.0
Angiies Cafe,Sarjapur Road,Yes,No,Burger Fast Food,3.7,450.0,Delivery,Quick Bites,29.0
Apsara Ice Cream,Bellandur,No,No,Ice Cream Desserts,4.1,200.0,Delivery,Dessert Parlor,83.0
Zing Roll,HSR,Yes,No,others,3.7,300.0,Delivery,Quick Bites,0.0
Muscat Restaurant,Marathahalli,Yes,No,North Indian Chinese,3.0,400.0,Delivery,Quick Bites,47.0
Rajtilak Sweets,Sarjapur Road,Yes,No,others,2.8,250.0,Delivery,others,20.0
The Chocolate Heaven Cakes,Bellandur,Yes,No,others,3.7,600.0,Delivery,others,0.0
Cake Delights,Sarjapur Road,Yes,No,Bakery Desserts,3.6,500.0,Delivery,Bakery,24.0
Lassi Shack,Sarjapur Road,Yes,No,others,3.7,200.0,Delivery,"Beverage Shop, Dessert Parlor",35.0
Kaka Singh,Bellandur,Yes,No,North Indian,2.6,400.0,Delivery,Casual Dining,42.0
Smoke The Sizzler House,Bellandur,Yes,No,others,3.3,900.0,Delivery,Casual Dining,4.0
As On Fire,HSR,Yes,No,others,3.8,400.0,Delivery,Quick Bites,174.0
Soul Treat,Sarjapur Road,Yes,No,others,4.3,750.0,Delivery,Bakery,269.0
My Tea House,Banashankari,Yes,Yes,others,3.7,500.0,Delivery,Casual Dining,0.0
Kadala Teera,Sarjapur Road,Yes,No,others,3.8,600.0,Delivery,Casual Dining,46.0
Biryani Hut,Sarjapur Road,Yes,No,North Indian Biryani,3.5,300.0,Delivery,Quick Bites,9.0
Sri Vishnu Garden Family Bar Restaurant,Sarjapur Road,Yes,No,others,3.7,700.0,Delivery,"Bar, Casual Dining",0.0
CakeZone,Bellandur,No,No,Bakery Desserts,3.7,500.0,Delivery,Bakery,20.0
Red Stone Kitchen,Marathahalli,Yes,No,North Indian Chinese Seafood,3.8,750.0,Delivery,Casual Dining,91.0
Second Wife Cafe,HSR,Yes,No,others,3.8,400.0,Delivery,Quick Bites,60.0
Khan Saheb Grills And Rolls,Sarjapur Road,Yes,No,others,3.2,400.0,Delivery,Quick Bites,135.0
Parathas Kitchen,Bellandur,Yes,No,North Indian South Indian,2.8,200.0,Delivery,nan,32.0
Asia In A Box,Bellandur,Yes,No,others,3.1,550.0,Delivery,Casual Dining,9.0
Ram Bhog,Marathahalli,Yes,No,Chinese North Indian,3.8,200.0,Delivery,Quick Bites,24.0
Silsila Restaurant,Sarjapur Road,Yes,No,Chinese North Indian,3.7,600.0,Delivery,Casual Dining,31.0
Keerthi Restaurant,Sarjapur Road,Yes,No,North Indian Chinese,3.3,300.0,Delivery,Quick Bites,11.0
Cafe Mondo,HSR,Yes,No,others,3.6,700.0,Delivery,"Cafe, Casual Dining",484.0
Zoeys,Sarjapur Road,Yes,No,others,4.3,600.0,Delivery,Cafe,894.0
Flying Cakes,Sarjapur Road,Yes,No,Bakery Desserts,3.1,500.0,Delivery,Bakery,15.0
Sri Ganesh Juice Junction,Bellandur,Yes,No,others,3.7,200.0,Delivery,Quick Bites,0.0
The Vape,HSR,Yes,No,others,4.0,800.0,Delivery,Casual Dining,600.0
Indy Palate,Bellandur,Yes,No,others,3.6,250.0,Delivery,Quick Bites,14.0
Food Theory,Bellandur,No,No,others,3.0,500.0,Delivery,nan,88.0
Sri Vasavi Restaurant,Bellandur,Yes,No,others,3.6,250.0,Delivery,Quick Bites,30.0
Flavors of India,Bellandur,Yes,Yes,others,3.7,1500.0,Delivery,Casual Dining,37.0
Nukkad,Bellandur,Yes,No,North Indian Chinese,3.0,500.0,Delivery,Casual Dining,106.0
Pita Pit,Bellandur,Yes,No,others,3.3,600.0,Delivery,Quick Bites,7.0
Milkyway Ice Creams,Bellandur,Yes,No,Ice Cream,3.7,300.0,Delivery,Food Court,25.0
Gooey Fluffy,Bellandur,No,No,Desserts Bakery,3.7,200.0,Delivery,Delivery,0.0
Kerala Tiffin,Bellandur,No,No,South Indian,3.7,400.0,Delivery,"Takeaway, Delivery",0.0
Reddys Restaurant,Bellandur,Yes,No,others,3.4,500.0,Delivery,Quick Bites,6.0
Take EAT Easy,Sarjapur Road,Yes,No,North Indian,3.6,200.0,Delivery,"Takeaway, Delivery",20.0
Rasoiya,Sarjapur Road,Yes,No,others,3.5,450.0,Delivery,Delivery,43.0
Burrito Boys,Bellandur,No,No,others,2.7,330.0,Delivery,Food Court,39.0
Dhaba Shaba,Sarjapur Road,Yes,No,North Indian Fast Food,3.2,250.0,Delivery,Quick Bites,61.0
Just Bake,Sarjapur Road,Yes,No,Bakery Desserts,2.9,400.0,Delivery,Bakery,65.0
Sri Murali Krishna,Bellandur,Yes,No,North Indian Chinese Biryani,3.7,600.0,Delivery,Casual Dining,0.0
Ghar Ka Chulha,Sarjapur Road,Yes,No,North Indian Chinese,3.1,550.0,Delivery,Casual Dining,117.0
Cafe Daily Bread,Bellandur,No,No,others,3.7,600.0,Delivery,"Bakery, Quick Bites",128.0
Biriyanis Curries,Bellandur,No,No,Andhra Biryani,3.7,400.0,Delivery,Quick Bites,0.0
Lassi Corner,Bellandur,No,No,Beverages Desserts,3.2,300.0,Delivery,Beverage Shop,9.0
Dessi Cuppa,HSR,Yes,No,Beverages Fast Food,3.7,300.0,Delivery,"Quick Bites, Beverage Shop",35.0
The Zaika Of Banaras,Marathahalli,Yes,No,North Indian Street Food,3.4,350.0,Delivery,Quick Bites,26.0
Mishmash,HSR,Yes,No,others,3.9,1400.0,Delivery,"Casual Dining, Bar",1240.0
Happy Eats,Sarjapur Road,Yes,No,North Indian Continental,3.7,300.0,Delivery,Delivery,0.0
Eating Love,Sarjapur Road,Yes,No,others,4.3,800.0,Delivery,Cafe,149.0
Shri Sai Ram Andhra Hotel,Bellandur,No,No,South Indian North Indian,3.7,300.0,Delivery,Quick Bites,0.0
T Square,Sarjapur Road,Yes,No,Fast Food Street Food,3.2,150.0,Delivery,Quick Bites,4.0
Club Food,Sarjapur Road,Yes,No,North Indian Chinese,3.7,250.0,Delivery,Quick Bites,0.0
Sri Sai Mango Tree Restaurant,Bellandur,No,No,others,3.6,600.0,Delivery,Casual Dining,336.0
Night Diaries,Whitefield,Yes,No,North Indian,3.1,300.0,Delivery,Quick Bites,16.0
Carnival Cakes Breads,Bellandur,No,No,others,3.7,200.0,Delivery,"Dessert Parlor, Quick Bites",23.0
Get Ur Fix,Marathahalli,Yes,No,Fast Food Beverages,3.7,300.0,Delivery,Food Court,0.0
Sai Ram Andhra Mess,Bellandur,No,No,South Indian North Indian,3.2,300.0,Delivery,Mess,6.0
Juice n Cafe,Sarjapur Road,Yes,No,others,3.7,150.0,Delivery,"Quick Bites, Beverage Shop",0.0
Delight Foods,Bellandur,No,No,others,3.7,750.0,Delivery,"Takeaway, Delivery",0.0
Samosa Corner,Bellandur,No,No,Street Food,3.7,100.0,Delivery,Quick Bites,32.0
Bhagini,Bellandur,No,No,others,2.3,800.0,Delivery,Casual Dining,131.0
Kettle Kegs,Sarjapur Road,Yes,No,others,3.3,200.0,Delivery,Delivery,9.0
Unico,Bellandur,Yes,No,others,3.7,550.0,Delivery,Casual Dining,66.0
New Andhra Spicy,Bellandur,Yes,No,others,3.6,200.0,Delivery,nan,11.0
Eat N Drinks,Bellandur,Yes,No,others,3.4,150.0,Delivery,Quick Bites,7.0
Dosa Time,Sarjapur Road,Yes,No,South Indian,3.8,200.0,Delivery,Takeaway,106.0
Ammis Biryani,Bellandur,No,No,Biryani North Indian,2.8,500.0,Delivery,Quick Bites,43.0
Annalakshmi,Bellandur,No,No,others,3.5,700.0,Delivery,Casual Dining,28.0
Hotel Shreekshetra,Sarjapur Road,Yes,No,North Indian Chinese,3.6,300.0,Delivery,Quick Bites,10.0
Payohima Ice Creams,Sarjapur Road,Yes,No,Desserts,3.9,300.0,Delivery,Dessert Parlor,20.0
Tea Totallers,Bellandur,Yes,No,others,2.9,500.0,Delivery,Cafe,19.0
Mirapakaya,Bellandur,Yes,No,South Indian Fast Food,3.7,300.0,Delivery,Quick Bites,0.0
ReadyBowl,Bellandur,Yes,No,others,3.6,300.0,Delivery,"Takeaway, Delivery",76.0
The Paratha Stories,Koramangala 1st Block,Yes,No,North Indian,3.3,400.0,Delivery,Delivery,35.0
Devanshi Foods,Marathahalli,Yes,No,others,3.7,400.0,Delivery,Quick Bites,0.0
Al Zaiqa Hotel,Marathahalli,Yes,No,others,3.5,200.0,Delivery,Quick Bites,14.0
Tandurust,Bellandur,No,No,North Indian South Indian,3.6,300.0,Delivery,"Takeaway, Delivery",27.0
Kawaii,HSR,Yes,No,Desserts Ice Cream,3.8,500.0,Delivery,Dessert Parlor,138.0
BMW Bhookh Mitaane Wala,Koramangala 1st Block,Yes,No,North Indian South Indian Chinese,3.7,500.0,Delivery,Delivery,500.0
Hyderabad Biryaani Palace,Bellandur,No,No,others,3.3,700.0,Delivery,Casual Dining,12.0
Pasta Twist,Bellandur,No,No,others,3.7,400.0,Delivery,Quick Bites,0.0
Nawabs Kitchen,Bellandur,No,No,others,3.7,400.0,Delivery,Quick Bites,0.0
The Ganache Factory,Bellandur,No,No,Desserts Bakery,3.7,400.0,Delivery,others,0.0
Lucknow Central,Marathahalli,Yes,No,North Indian,3.0,350.0,Delivery,Quick Bites,21.0
Lovely Knights,Bellandur,Yes,No,North Indian Chinese,3.5,500.0,Delivery,Delivery,356.0
All In One Desi Khana,Bellandur,No,No,North Indian Chinese Biryani,3.7,500.0,Delivery,Quick Bites,0.0
California Burrito,Bellandur,No,No,others,3.7,400.0,Delivery,"Food Court, Quick Bites",23.0
Archanas First Crush,Sarjapur Road,Yes,No,Bakery Desserts,3.7,400.0,Delivery,Bakery,31.0
Punjabi,Bellandur,No,No,North Indian Chinese,3.7,500.0,Delivery,Quick Bites,0.0
Me And My Cake,Bellandur,No,No,Bakery Desserts,3.7,500.0,Delivery,"Takeaway, Delivery",0.0
Taste of Chettinad,Bellandur,No,No,others,3.7,400.0,Delivery,Delivery,0.0
Noodle Oodle,Bellandur,No,No,Chinese,3.7,400.0,Delivery,"Takeaway, Delivery",0.0
Elaz Rannaghor,Bellandur,No,No,others,3.7,350.0,Delivery,"Takeaway, Delivery",0.0
Telugu Velugu,Bellandur,No,No,South Indian Biryani,3.0,300.0,Delivery,Food Court,6.0
Gowdaaa Mane Oota,Bellandur,No,No,South Indian,3.4,200.0,Delivery,Quick Bites,7.0
Mast Kalandar,Bellandur,No,No,North Indian,2.1,450.0,Delivery,Casual Dining,337.0
Lazeez,Bellandur,No,No,North Indian Mughlai Biryani,2.7,600.0,Delivery,"Takeaway, Delivery",52.0
RICE BAR,Bellandur,No,No,North Indian Biryani,3.7,500.0,Delivery,Delivery,0.0
Ghar Ka Aahar,Bellandur,No,No,North Indian,3.7,400.0,Delivery,Delivery,0.0
Burger Kulfi Plaza,Bellandur,No,No,Fast Food,3.7,300.0,Delivery,"Food Court, Quick Bites",0.0
Pitta Biryani,Bellandur,No,No,Biryani,3.7,400.0,Delivery,Delivery,0.0
Eat Repeat Express,Bellandur,No,No,North Indian Chinese Continental,3.7,600.0,Delivery,Delivery,0.0
Teekhi Mirrchi,Bellandur,No,No,Chinese North Indian,3.7,700.0,Delivery,"Takeaway, Delivery",0.0
The French Loaf,Bellandur,No,No,Bakery Desserts,3.7,400.0,Delivery,"Bakery, Quick Bites",0.0
Hotel Thansika,Bellandur,No,No,South Indian Biryani,3.7,200.0,Delivery,Quick Bites,0.0
Biryani Factory,Bellandur,No,No,Biryani,3.7,400.0,Delivery,Delivery,0.0
VM Amul Ice Cream,Bellandur,No,No,Ice Cream,3.7,100.0,Delivery,Dessert Parlor,0.0
Shiv Shakti Hotel,Bellandur,No,No,North Indian,3.7,200.0,Delivery,Quick Bites,0.0
Basaveshwara Khanavali,Bellandur,No,No,North Indian,3.7,200.0,Delivery,Quick Bites,0.0
Bonfooder,Sarjapur Road,Yes,No,North Indian,3.9,400.0,Delivery,Delivery,36.0
Cafe At The Atelier,Sarjapur Road,Yes,No,others,4.2,800.0,Delivery,Cafe,500.0
Hotel Aahaa,Bellandur,No,No,South Indian,3.7,200.0,Delivery,Quick Bites,25.0
Best Biryani,Bellandur,No,No,others,3.7,300.0,Delivery,Quick Bites,0.0
Indori Zaika,Bellandur,No,No,North Indian,3.2,300.0,Delivery,"Takeaway, Delivery",7.0
Crack That,Bellandur,No,No,Continental,3.3,500.0,Delivery,"Food Court, Quick Bites",6.0
Yummy Punjabi Delight,Bellandur,No,No,North Indian,3.2,500.0,Delivery,Quick Bites,6.0
Ande Ka Funda,Bellandur,No,No,Fast Food,3.0,150.0,Delivery,Quick Bites,21.0
Nandana Mess,Bellandur,No,No,South Indian Chinese,3.4,350.0,Delivery,Mess,7.0
Pots N Pans,Bellandur,No,No,North Indian Chinese Biryani,3.3,600.0,Delivery,Delivery,5.0
Litti Chokha Junction,Bellandur,No,No,others,3.7,250.0,Delivery,Quick Bites,0.0
Northern Tadka,Bellandur,No,No,North Indian,3.7,400.0,Delivery,"Takeaway, Delivery",0.0
Wangchuk Trail,Bellandur,No,No,Chinese,3.7,200.0,Delivery,"Takeaway, Delivery",0.0
Neetus Kitchen,Bellandur,No,No,others,3.8,350.0,Delivery,"Takeaway, Delivery",21.0
Chatorr,Bellandur,No,No,Fast Food Street Food,2.9,400.0,Delivery,Quick Bites,78.0
New Desi Paratha Point,Bellandur,No,No,North Indian Chinese,3.7,400.0,Delivery,Quick Bites,0.0
Paani Puri Adda,Bellandur,No,No,North Indian,3.7,300.0,Delivery,Delivery,0.0
Flamin Grill,Bellandur,No,No,others,3.5,600.0,Delivery,Casual Dining,10.0
Sultans Biryani,Bellandur,No,No,Biryani North Indian,3.1,700.0,Delivery,Delivery,5.0
Eatsomnia,Koramangala 1st Block,Yes,No,others,3.5,500.0,Delivery,Delivery,435.0
FeelTheROLL,Bellandur,No,No,Fast Food,3.4,200.0,Delivery,Quick Bites,7.0
38 Sugar Lane,Bellandur,No,No,Bakery Desserts,3.7,850.0,Delivery,"Takeaway, Delivery",0.0
Mast Biryani Fresh Indian Kitchen,Bellandur,No,No,others,3.2,500.0,Delivery,"Takeaway, Delivery",4.0
BTM Bawarchi Biryani,Bellandur,No,No,Biryani North Indian Chinese,3.7,600.0,Delivery,Casual Dining,0.0
Hotel Masthi Kabab,Bellandur,No,No,North Indian Chinese,3.1,300.0,Delivery,Quick Bites,9.0
Palkis,Bellandur,No,No,North Indian Biryani,3.0,800.0,Delivery,Casual Dining,155.0
Al Khwaja,Bellandur,No,No,North Indian Chinese,3.0,400.0,Delivery,Casual Dining,13.0
Spice Of Kolkata,Bellandur,No,No,others,2.8,400.0,Delivery,Food Court,116.0
Spicy Hub,Bellandur,No,No,North Indian,3.0,400.0,Delivery,Quick Bites,26.0
Devis Cakes N Bakes,Bellandur,No,No,Bakery Desserts,3.6,200.0,Delivery,Bakery,31.0
Ramana Hotel,Bellandur,No,No,South Indian North Indian,3.7,300.0,Delivery,Quick Bites,0.0
Annabell,Bellandur,No,No,others,3.7,700.0,Delivery,"Quick Bites, Beverage Shop",0.0
Taste Of India,Bellandur,No,No,others,3.1,400.0,Delivery,Quick Bites,5.0
Tyohaar Restaurant,Bellandur,No,No,others,3.7,400.0,Delivery,Quick Bites,0.0
Cravingz,Bellandur,No,No,Fast Food Beverages,3.7,400.0,Delivery,Quick Bites,0.0
Piata,Bellandur,No,No,Bakery,3.7,400.0,Delivery,Bakery,19.0
Coffee Tea More,Bellandur,No,No,others,3.7,100.0,Delivery,Quick Bites,0.0
Biryani Treat,Bellandur,No,No,Biryani,3.7,400.0,Delivery,Quick Bites,0.0
MK Dabbawala,Bellandur,No,No,North Indian,3.7,400.0,Delivery,"Takeaway, Delivery",0.0
Vandana Mess,Bellandur,No,No,South Indian,3.7,200.0,Delivery,Mess,0.0
Biryani Cart,Bellandur,No,No,Biryani North Indian,3.7,400.0,Delivery,Delivery,0.0
Five Satr Chiken,Bellandur,No,No,Fast Food,3.7,300.0,Delivery,Quick Bites,0.0
Savi Sagar,Bellandur,No,No,North Indian South Indian Chinese,3.2,400.0,Delivery,"Food Court, Quick Bites",6.0
Spice Garden by Dum Mast Biryani,Bellandur,No,No,others,3.2,550.0,Delivery,Casual Dining,59.0
Mumichi,Bellandur,No,No,North Indian,3.7,150.0,Delivery,Delivery,0.0
La Mirch,Bellandur,No,No,others,3.7,400.0,Delivery,Delivery,0.0
Starve Nights,Bellandur,No,No,others,3.7,450.0,Delivery,Food Court,0.0
Parathabox,Bellandur,No,No,Fast Food North Indian,3.8,150.0,Delivery,Delivery,63.0
Sonas Kitchen,Bellandur,No,No,North Indian,3.7,300.0,Delivery,"Takeaway, Delivery",0.0
Chaatora Ghar,Bellandur,No,No,North Indian,3.7,200.0,Delivery,Food Court,0.0
LaPizza,others,Yes,No,others,3.6,450.0,Delivery,Delivery,151.0
Kabab Ghar,Bellandur,Yes,No,others,3.1,600.0,Delivery,"Takeaway, Delivery",11.0
Chicken Shawarma Hub,Bellandur,No,No,others,3.1,250.0,Delivery,"Takeaway, Delivery",14.0
Mont Blanc Cafe,Bellandur,Yes,No,others,3.8,650.0,Delivery,Cafe,35.0
