name,location,online_order,book_table,cuisines,rate,costof2plates,type_mode,rest_type,votes
Five Star Chicken,Banashankari,No,No,Fast Food Burger,3.6,200.0,Delivery,Quick Bites,55.0
XO Belgian Waffle,Banashankari,Yes,No,Desserts Beverages,3.7,400.0,Delivery,Dessert Parlor,17.0
Peppy Peppers,Banashankari,No,No,others,4.2,800.0,Delivery,Casual Dining,244.0
this was amazing,others,others,others,Missing,3.7,400.0,Delivery, ,60.0
Goa 0 Km,Kumaraswamy Layout,Yes,Yes,others,3.6,800.0,Delivery,Casual Dining,163.0
Chinese Kitchen,Basavanagudi,Yes,No,Chinese,3.8,150.0,Delivery,Quick Bites,58.0
1947,Banashankari,No,Yes,North Indian Chinese,4.0,850.0,Delivery,Casual Dining,808.0
Cake of the Day,Banashankari,No,No,Bakery,3.7,150.0,Delivery,"Bakery, Dessert Parlor",78.0
Kabab Magic,Basavanagudi,Yes,No,others,4.1,400.0,Delivery,Quick Bites,1720.0
Namma Brahmins Idli,Jayanagar,Yes,No,South Indian,3.6,100.0,Delivery,Quick Bites,34.0
Gustoes Beer House,Banashankari,No,No,others,4.1,1200.0,Delivery,Pub,868.0
Sugar Rush,Banashankari,No,No,Bakery Desserts,3.8,300.0,Delivery,Bakery,39.0
Burger King,Basavanagudi,Yes,No,Burger Fast Food Beverages,3.2,600.0,Delivery,Quick Bites,71.0
The Good Bowl,Banashankari,Yes,No,others,3.6,500.0,Delivery,"Takeaway, Delivery",6.0
The Biryani Cafe,Banashankari,No,No,others,4.1,300.0,Delivery,Quick Bites,520.0
Spicy Tandoor,Banashankari,No,No,North Indian,3.7,150.0,Delivery,Quick Bites,0.0
LSD Cafe,Banashankari,No,No,others,2.9,700.0,Delivery,Delivery,84.0
Rolls On Wheels,Banashankari,No,No,others,3.6,300.0,Delivery,Quick Bites,299.0
Om Sri Vinayaka Chats,Banashankari,No,No,Street Food Fast Food,3.7,500.0,Delivery,"Takeaway, Delivery",0.0
Sri Guru Kottureshwara Davangere Benne Dosa,Basavanagudi,Yes,No,South Indian,4.1,150.0,Delivery,Quick Bites,558.0
Devanna Dum Biriyani Centre,Banashankari,Yes,No,Biryani South Indian,3.6,300.0,Delivery,Quick Bites,28.0
Kolbeh,Banashankari,No,No,Fast Food,3.7,500.0,Delivery,Quick Bites,22.0
Upahar Sagar,Banashankari,No,No,South Indian Chinese North Indian,3.8,350.0,Delivery,Quick Bites,39.0
Kadalu Sea Food Restaurant,Vijay Nagar,Yes,No,others,3.8,500.0,Delivery,Fine Dining,153.0
Frozen Bottle,Banashankari,Yes,No,others,4.2,400.0,Delivery,Beverage Shop,146.0
Parimala Sweets,Banashankari,No,No,Mithai Street Food,3.5,200.0,Delivery,Sweet Shop,14.0
Vaishali Deluxe,Banashankari,No,No,North Indian Chinese,3.8,700.0,Delivery,Casual Dining,42.0
Chill Out,Banashankari,No,No,South Indian Chinese,3.7,100.0,Delivery,Quick Bites,0.0
The Big O Bakes,Banashankari,No,No,Bakery Desserts,4.0,300.0,Delivery,Bakery,66.0
Meghana Foods,Jayanagar,Yes,No,Biryani North Indian Chinese,4.4,600.0,Delivery,Casual Dining,4401.0
Krishna Sagar,Banashankari,No,No,North Indian,3.5,200.0,Delivery,Quick Bites,31.0
Dessert Rose,Banashankari,No,No,Desserts,3.5,500.0,Delivery,Dessert Parlor,7.0
Chickpet Donne Biryani House,Banashankari,No,No,Biryani,3.7,250.0,Delivery,Quick Bites,21.0
Me And My Cake,Banashankari,No,No,Bakery Desserts,3.7,500.0,Delivery,Delivery,0.0
